tc,tc_float,ev,ev_min,ev_max,n2,n3,n4,n5,n6,n7,n8,n9,n10,nA
10,10.592592592592592,8.518218878282715,8.518218505357611,8.518235535414412,4,2,3,4,3,3,1,7,22,5
5,5.265822784810127,3.693145058242661,3.693144803060085,3.6931835187897177,14,12,10,11,8,8,14,10,57,14
-7,-7.703703703703703,-1.870355511011005,-1.8703555110110035,-1.870348930404372,3,2,0,3,3,3,5,1,7,0
-3,-3.8165137614678897,-1.5707007551638166,-1.5707018481244177,-1.5706167881577653,5,14,9,8,11,7,8,8,29,10
0,0.8167539267015708,0.6111118003277892,0.6111115469833299,0.611168459955505,15,17,16,14,9,14,13,19,57,17
0,0.1688311688311688,-0.2553560249929272,-0.2553561906229324,-0.2552901256514061,23,24,24,24,23,24,23,24,96,23
-5,-5.073170731707317,-0.5899270244399677,-0.5899283144824558,-0.5898793890004549,4,6,7,5,11,3,11,10,19,6
3,3.9661016949152543,2.638296666999877,2.638296621238665,2.638350002366841,7,9,10,5,8,9,11,11,33,15
0,0.78,-0.225009257039968,-0.2250093224981808,-0.2249645363757967,15,15,14,16,13,16,21,14,65,11
0,0.2300884955752212,-0.1954096340704279,-0.195409986323504,-0.1953253325423917,19,20,14,19,16,18,16,15,71,18
-9,-9.95744680851064,-4.987661929822077,-4.987663572758994,-4.987599673004233,4,7,6,4,3,4,1,3,13,2
0,-0.7536231884057971,-0.2572913726815053,-0.2572915702946322,-0.2572343125949372,10,12,10,10,13,11,7,12,42,11
0,0.6499999999999999,0.7676388461294066,0.7676387361311147,0.767674444709102,9,5,5,7,5,4,8,5,27,5
-1,-1.3131313131313131,-1.007619969940057,-1.0076200323903206,-1.0075603504575954,13,17,16,15,17,14,17,16,65,8
2,2.888888888888889,1.7865607891549378,1.7865604351960291,1.7866047309683502,5,5,9,7,7,5,7,7,28,10
2,2.7807486631016043,1.2089870768705944,1.208986890706274,1.209064759978986,13,15,9,16,15,15,13,13,61,17
4,4.650406504065041,2.6581958195214987,2.65819569542122,2.658235368812972,10,9,6,8,6,10,11,13,39,11
0,-0.5591397849462366,-0.4713895993878658,-0.4713897844392946,-0.4713308511256251,22,22,22,21,22,21,20,23,86,20
0,0.1824561403508771,-0.2416967375364209,-0.2416968823264272,-0.2416448039863838,23,24,18,23,21,23,21,22,90,20
0,0.6842105263157895,0.4431455953854051,0.4431453344124404,0.4432294508978023,12,9,14,12,10,11,9,16,46,13
0,0.1918819188191881,-0.0458060302156068,-0.0458064177591951,-0.0457303270028446,19,20,19,23,21,19,24,23,81,22
1,1.9622641509433965,1.3174763068077808,1.3174761537545094,1.3175477218025784,10,6,7,5,9,11,8,9,31,10
3,3.081481481481481,1.3027009838160677,1.3027008429034004,1.302786627337175,15,5,7,10,9,14,11,10,41,13
0,0.4561403508771929,0.3345345740296953,0.3345337066722126,0.3345833533161778,10,6,13,11,7,4,10,5,38,10
-11,-11.859649122807015,-4.290266512563654,-4.29026696424186,-4.290215158014674,8,6,4,5,6,2,3,7,13,3
1,1.368421052631579,0.8076575882832907,0.8076575258350418,0.8077026970804279,22,20,21,15,20,20,20,23,86,19
0,0.4727272727272727,0.3362365410836171,0.3362364276042501,0.3363009914246971,16,19,16,17,16,14,16,20,69,17
0,0.174496644295302,-0.1285712973073981,-0.1285715710542606,-0.1285003200736779,23,22,22,24,24,22,21,24,93,23
0,-0.9848484848484848,-0.9052680245444236,-0.9052684458875552,-0.9051966453237948,19,21,22,22,21,20,20,19,80,20
2,2.5365853658536586,1.212915558508212,1.21291519943033,1.2129787247926256,11,7,14,15,14,11,9,14,53,16
3,3.4098360655737703,1.6925043449063668,1.6925042016448764,1.6925419656978222,6,11,6,12,10,9,7,8,43,10
3,3.980861244019138,2.2642918940017043,2.264291778864164,2.264345040972439,17,12,15,15,14,13,16,18,69,20
0,0.0,1.7666928043224903,1.7666899316993758,1.766789195885137,8,2,7,6,4,4,4,1,17,10
-3,-3.872340425531915,-1.9531977815938328,-1.95319817625536,-1.953154507622148,16,17,12,19,16,11,13,18,55,11
-1,-1.238095238095238,0.696307144463163,0.6963065978710994,0.6963740587484043,4,8,6,4,8,6,12,8,20,8
0,0.52,-0.2350654867199144,-0.2350657957718161,-0.2350367740276504,3,9,7,10,8,8,7,10,32,6
-1,-1.5384615384615383,-0.8956955428918097,-0.8956958572243702,-0.8956089513403848,11,14,15,14,12,12,16,14,48,13
1,1.821011673151751,0.7971958945852748,0.7971956267129199,0.7972634940914749,16,20,19,20,22,17,19,18,85,21
-2,-2.2033898305084745,-1.1603159465371176,-1.160316757228884,-1.1602324700143638,18,17,16,19,23,21,22,17,63,20
0,0.0,1.6453941468102664,1.6453934864002604,1.645421338735884,2,3,3,3,0,1,3,2,8,3
0,0.7375886524822695,0.1718815346832438,0.1718813754808322,0.1719338666521981,21,22,21,22,22,19,22,21,92,20
-3,-3.649122807017544,-2.067746918705509,-2.067747322719226,-2.067685708280153,8,9,11,10,9,9,10,9,31,8
7,7.041666666666666,5.274567180012805,5.274567035433609,5.274595601568444,7,7,9,5,3,5,7,9,36,8
-2,-2.2245989304812834,-1.8563351592875652,-1.8563355195539089,-1.8562996107595784,14,16,15,16,16,17,11,13,58,11
-1,-1.4786729857819907,-1.3258769511187558,-1.3258772297490848,-1.3258291077120568,15,18,20,15,15,20,15,16,63,14
-16,-16.095238095238095,-4.505874792441172,-4.505882005710062,-4.505826486235768,3,5,7,5,3,3,3,3,8,2
-1,-1.7854077253218883,-1.0605265772442205,-1.0605269017702548,-1.0604387000341364,21,19,18,18,18,19,19,15,66,20
-4,-4.333333333333333,-2.1735752795436807,-2.1735787227450167,-2.1734895248167447,6,5,4,10,7,6,4,4,19,7
-1,-1.625,-0.6591770991437107,-0.6591772944787534,-0.6591494287503595,9,5,2,7,2,7,2,7,19,4
-4,-4.333333333333333,-1.1941838997010594,-1.1941839990420722,-1.1941329762665498,5,9,4,6,7,4,3,9,22,3
1,1.7528089887640448,0.6437522156667442,0.6437519093698933,0.6438342469138931,20,18,20,21,19,20,21,21,84,23
0,0.2587064676616915,-0.3019265899577501,-0.3019269273962608,-0.3018635476487997,15,17,16,18,15,13,15,10,67,15
10,10.263157894736842,4.031943106740635,4.031942794868166,4.031961215368689,3,3,4,7,2,8,8,7,30,4
4,4.612903225806452,2.3501423864393742,2.350142243046524,2.350208730340621,8,10,9,6,9,11,11,7,41,12
-1,-1.1206896551724137,-0.9576934291041084,-0.957693564675479,-0.9576522136185784,20,17,19,19,19,17,15,17,75,14
0,-0.6527196652719666,-0.2132275996756429,-0.2132279198780663,-0.2131508374594944,17,23,15,19,20,15,20,19,72,19
-10,-10.705882352941176,-4.893268811740805,-4.893270484628287,-4.893247176723801,4,5,1,4,4,1,2,2,10,1
3,3.466666666666667,2.0356678183432635,2.03566766515929,2.035728991644503,13,13,15,10,16,15,14,19,63,17
-1,-1.2862190812720848,-1.006500622828998,-1.006500844493625,-1.0064512795557428,21,24,20,23,22,24,22,24,84,19
-2,-2.429906542056075,0.6668510569766182,0.6668504358938899,0.6669427688645059,11,8,10,6,10,7,9,6,25,15
-2,-2.6,-1.4682945355993255,-1.4682953648445305,-1.4682057665400023,13,16,13,16,16,14,13,14,50,15
2,2.557377049180328,0.9415717528492556,0.9415715093139708,0.941668249331414,15,14,13,10,12,19,15,12,57,16
-12,-12.71111111111111,0.3333323417840115,0.3333194473059004,0.3334377525770773,5,5,2,7,4,3,4,3,6,6
0,0.8125,2.042973076238762,2.0429729272464083,2.043025202759004,8,3,2,4,4,6,6,9,16,6
0,0.0,-0.168831651291434,-0.1688320850283579,-0.1687409830571644,21,22,22,22,22,19,18,20,86,23
0,0.0,-0.6218297666571299,-0.6218299090993872,-0.6217928431038485,14,12,13,16,11,13,12,12,56,10
1,1.6106194690265487,0.5946309109173572,0.5946307475056402,0.5947061669113213,13,19,17,17,19,17,16,16,73,19
-7,-7.428571428571429,-1.9176939647697695,-1.9176954982662175,-1.9176772499308916,2,3,1,5,2,0,3,3,8,1
1,1.3065326633165828,0.5435992904588416,0.5435990272544164,0.5436525131460193,17,16,13,16,11,17,14,17,60,18
1,1.3774834437086094,0.6664267138337765,0.6664255868855716,0.6665021756131208,11,11,15,12,12,11,5,9,51,14
0,0.2148760330578512,-0.1915626058114515,-0.1915629474171419,-0.191482467354884,18,21,19,20,16,18,17,18,76,19
0,0.697986577181208,-0.0039695619407909,-0.0039697408525506,-0.0038903613486218,23,21,23,24,22,23,23,22,93,24
0,-0.7222222222222222,-0.6337294585977721,-0.6337297359490245,-0.6336519509626943,22,23,21,22,24,23,24,21,86,22
2,2.290748898678414,0.7481213701110367,0.7481213020331949,0.7481580670527948,16,17,16,16,16,19,18,18,76,15
14,14.56,12.465336350495097,12.465336350495097,12.465338336507816,0,1,2,2,1,0,2,4,10,3
